"irn","MulMultiMediaRef_tab(1).irn","MulMultiMediaRef_tab(2).irn","MulMultiMediaRef_tab(3).irn","MulMultiMediaRef_tab(4).irn"
3960385,"1821345","1821346","1821347",""
3960386,"1821348","","",""
3960387,"1821349","1821350","",""
3960388,"1821351","","",""
3960389,"1821352","","",""
3960392,"1821353","","",""
3960393,"1821354","1821355","1821356",""
3960394,"1821357","","",""
3960395,"1821358","1821359","",""
3960396,"1821360","","",""
3960397,"1821361","","",""
3960398,"1821362","1821363","1821364",""
3960399,"1821365","","",""
3960400,"1821366","","",""
3960401,"1821367","1821368","",""
3960402,"1821369","","",""
3960403,"1821370","","",""
3960404,"1821371","1821372","",""
3960405,"1821373","1821374","",""
3960406,"1821375","","",""
3960407,"1821376","1821377","",""
3960408,"1821378","","",""
3960409,"1821379","","",""
3960410,"1821380","","",""
3960411,"1821381","","",""
3960412,"1821383","1821382","",""
3960413,"1821384","","",""
3960414,"1821385","","",""
3960415,"1821386","","",""
3960416,"1821388","","",""
3960417,"1821387","","",""
3960418,"1821389","1821390","",""
3960419,"1821391","","",""
3960420,"1821392","","",""
3960421,"1821393","","",""
3960422,"1821394","","",""
3960423,"1821395","","",""
3960424,"1821396","1821397","",""
3960425,"1821398","","",""
3960426,"1821399","","",""
3960427,"1821400","","",""
3960428,"1821401","","",""
3960429,"1821402","1821403","1821404",""
3960430,"1821405","","",""
3960431,"1821406","1821407","",""
3960432,"1821408","","",""
3960433,"1821409","","",""
3960434,"1821411","1821410","",""
3960435,"1821412","","",""
3960436,"1821413","","",""
3960437,"1821414","","",""
3960438,"1821415","1821416","",""
3960439,"1821417","","",""
3960440,"1821418","1821419","1821420",""
3960441,"1821421","","",""
3960442,"1821422","","",""
3960443,"1821423","","",""
3960444,"1821424","","",""
3960445,"1821425","","",""
3960446,"1821426","","",""
3960447,"1821427","1821428","",""
3960448,"1821429","1821430","",""
3960449,"1821431","","",""
3960450,"1821432","1821433","",""
3960451,"1821434","","",""
3960452,"1821435","","",""
3960453,"1821436","","",""
3960454,"1821437","","",""
3960455,"1821438","","",""
3960456,"1821439","1821440","1821441","1821442"
