"CatDepartment","CatCatalog","CatCatalogSubset","GeoSeries","GeoCatalogNo","NotFisNotes0(1)","CatMammalsProject_tab(1)","ColMammalsCollectorRef.irn","SecDepartment_tab(1)","AdmPublishWebNoPassword","AdmPublishWebPassword","ColEarliestDateCollected","ColSiteLocationRef.irn","NotFisNotes0(2)"
"Action","Botany","Sighting","NLP",5013001,1,"Live Plant Photos",206557,"Action","Yes","Yes","30-Jul-18",588553,"ce30"
"Action","Botany","Sighting","NLP",5013004,2,"Live Plant Photos",206557,"Action","Yes","Yes","8-Oct-18 ",588548,"ce40"
"Action","Botany","Sighting","NLP",5013005,3,"Live Plant Photos",206557,"Action","Yes","Yes","29-Mar-18",588535,"ce25"
"Action","Botany","Sighting","NLP",5013007,4,"Live Plant Photos",206557,"Action","Yes","Yes","29-Jun-18",588548,"ce24"
"Action","Botany","Sighting","NLP",5013008,5,"Live Plant Photos",206557,"Action","Yes","Yes","7-Apr-18 ",588541,"ce36"
"Action","Botany","Sighting","NLP",5013009,6,"Live Plant Photos",206557,"Action","Yes","Yes","28-Jun-18",588549,"ce20"
"Action","Botany","Sighting","NLP",5013010,7,"Live Plant Photos",206557,"Action","Yes","Yes","4-Nov-18 ",588534,"ce33"
"Action","Botany","Sighting","NLP",5013013,8,"Live Plant Photos",206557,"Action","Yes","Yes","7-Apr-18 ",588541,"ce36"
"Action","Botany","Sighting","NLP",5013014,9,"Live Plant Photos",206557,"Action","Yes","Yes","6-Aug-18 ",588531,"ce35"
"Action","Botany","Sighting","NLP",5013016,10,"Live Plant Photos",206557,"Action","Yes","Yes","29-Mar-18",588535,"ce25"
"Action","Botany","Sighting","NLP",5013017,11,"Live Plant Photos",206557,"Action","Yes","Yes","28-Apr-18",588554,"ce19"
"Action","Botany","Sighting","NLP",5013018,12,"Live Plant Photos",206557,"Action","Yes","Yes","17-Jun-18",588548,"ce9"
"Action","Botany","Sighting","NLP",5013021,13,"Live Plant Photos",206557,"Action","Yes","Yes","31-Jul-18",588531,"ce31"
"Action","Botany","Sighting","NLP",5013022,14,"Live Plant Photos",206557,"Action","Yes","Yes","25-May-18",588549,"ce18"
"Action","Botany","Sighting","NLP",5013023,15,"Live Plant Photos",206557,"Action","Yes","Yes","14-Oct-18",588537,"ce8"
"Action","Botany","Sighting","NLP",5013025,16,"Live Plant Photos",206557,"Action","Yes","Yes","8-Aug-18 ",588531,"ce37"
"Action","Botany","Sighting","NLP",5013026,17,"Live Plant Photos",206557,"Action","Yes","Yes","3-Aug-18 ",588531,"ce27"
"Action","Botany","Sighting","NLP",5013027,18,"Live Plant Photos",206557,"Action","Yes","Yes","8-Oct-18 ",588540,"ce39"
"Action","Botany","Sighting","NLP",5013029,19,"Live Plant Photos",206557,"Action","Yes","Yes","30-Aug-18",588531,"ce28"
"Action","Botany","Sighting","NLP",5013031,20,"Live Plant Photos",206557,"Action","Yes","Yes","3-Aug-18 ",588531,"ce27"
"Action","Botany","Sighting","NLP",5013032,21,"Live Plant Photos",206557,"Action","Yes","Yes","29-Mar-18",588535,"ce25"
"Action","Botany","Sighting","NLP",5013034,22,"Live Plant Photos",206557,"Action","Yes","Yes","19-Aug-19",588529,"ce13"
"Action","Botany","Sighting","NLP",5013035,23,"Live Plant Photos",206557,"Action","Yes","Yes","24-Aug-18",588531,"ce17"
"Action","Botany","Sighting","NLP",5013036,24,"Live Plant Photos",206557,"Action","Yes","Yes","30-Jul-18",588531,"ce29"
"Action","Botany","Sighting","NLP",5013037,25,"Live Plant Photos",206557,"Action","Yes","Yes","29-May-18",588538,"ce26"
"Action","Botany","Sighting","NLP",5013038,26,"Live Plant Photos",206557,"Action","Yes","Yes","8-Jun-18 ",588548,"ce38"
"Action","Botany","Sighting","NLP",5013040,27,"Live Plant Photos",206557,"Action","Yes","Yes","6-Aug-18 ",588531,"ce35"
"Action","Botany","Sighting","NLP",5013041,28,"Live Plant Photos",206557,"Action","Yes","Yes","17-Nov-18",588548,"ce10"
"Action","Botany","Sighting","NLP",5013042,29,"Live Plant Photos",206557,"Action","Yes","Yes","29-Aug-18",588531,"ce21"
"Action","Botany","Sighting","NLP",5013044,30,"Live Plant Photos",206557,"Action","Yes","Yes","28-Apr-18",588554,"ce19"
"Action","Botany","Sighting","NLP",5013043,31,"Live Plant Photos",206557,"Action","Yes","Yes","11-May-18",588548,"ce4"
"Action","Botany","Sighting","NLP",5013045,32,"Live Plant Photos",206557,"Action","Yes","Yes","8-Jun-18 ",588548,"ce38"
"Action","Botany","Sighting","NLP",5013047,33,"Live Plant Photos",206557,"Action","Yes","Yes","30-Aug-18",588531,"ce28"
"Action","Botany","Sighting","NLP",5013048,34,"Live Plant Photos",206557,"Action","Yes","Yes","6-Aug-18 ",588531,"ce35"
"Action","Botany","Sighting","NLP",5013049,35,"Live Plant Photos",206557,"Action","Yes","Yes","6-Aug-18 ",588531,"ce35"
"Action","Botany","Sighting","NLP",5013050,36,"Live Plant Photos",206557,"Action","Yes","Yes","13-Apr-18",588533,"ce6"
"Action","Botany","Sighting","NLP",5013051,37,"Live Plant Photos",206557,"Action","Yes","Yes","7-Apr-18 ",588541,"ce36"
"Action","Botany","Sighting","NLP",5013052,38,"Live Plant Photos",206557,"Action","Yes","Yes","13-Oct-18",588536,"ce7"
