CatIRN,CATGroup,CEGroup
3960385,1,30
3960386,2,40
3960387,3,25
3960388,4,24
3960389,5,36
3960392,"6",20
3960393,"7",33
3960394,"8",36
3960395,"9",35
3960396,10,25
3960397,11,19
3960398,12,"
9"
3960399,13,31
3960400,14,18
3960401,15,"
8"
3960402,16,37
3960403,17,27
3960404,18,39
3960405,19,28
3960406,20,27
3960407,21,25
3960408,22,13
3960409,23,17
3960410,24,29
3960411,25,26
3960412,26,38
3960413,27,35
3960414,28,10
3960415,29,21
3960416,30,19
3960417,31,"
4"
3960418,32,38
3960419,33,28
3960420,34,35
3960421,35,35
3960422,36,"
6"
3960423,37,36
3960424,38,"
7"
3960425,39,"
3"
3960426,40,12
3960427,41,15
3960428,42,15
3960429,43,37
3960430,44,37
3960431,45,41
3960432,46,32
3960433,47,"
8"
3960434,48,15
3960435,49,25
3960436,50,19
3960437,51,34
3960438,52,23
3960439,53,41
3960440,54,32
3960441,55,23
3960442,56,"
7"
3960443,57,"
8"
3960444,58,14
3960445,59,"
1"
3960446,60,22
3960447,61,"
8"
3960448,62,36
3960449,63,42
3960450,64,10
3960451,65,"
5"
3960452,66,16
3960453,67,"
2"
3960454,68,10
3960455,69,35
3960456,70,11
