"Multimedia","MulTitle","MulDescription","DetMediaRightsRef.irn","DetResourceDetailsDate0(1)","DetResourceDetailsDescription_tab(1)","DetSubject_tab(1)","SecDepartment_tab(1)","SecDepartment_tab(2)","AdmPublishWebNoPassword","AdmPublishWebPassword","NteText0","MulMultimediaCreatorRole_tab(1)","MulMultimediaCreatorRole_tab(2)","MulMultimediaCreatorRef_tab(1).irn","MulMultimediaCreatorRef_tab(2).irn"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Aiouea_costaricensis.jpg","Aiouea_costaricensis.jpg","live plant photo from Contribute","46","30-Jul-18","Created","NLP","Action","Technology","Yes","Yes",1,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Aiouea_costaricensis_2.jpg","Aiouea_costaricensis_2.jpg","live plant photo from Contribute","46","30-Jul-18","Created","NLP","Action","Technology","Yes","Yes",1,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Aiouea_costaricensis_3.jpg","Aiouea_costaricensis_3.jpg","live plant photo from Contribute","46","30-Jul-18","Created","NLP","Action","Technology","Yes","Yes",1,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Aiouea_obscura.jpg","Aiouea_obscura.jpg","live plant photo from Contribute","46","8-Oct-18 ","Created","NLP","Action","Technology","Yes","Yes",2,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Alibertia_edulis.jpg","Alibertia_edulis.jpg","live plant photo from Contribute","46","29-Mar-18","Created","NLP","Action","Technology","Yes","Yes",3,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Alibertia_edulis_2.jpg","Alibertia_edulis_2.jpg","live plant photo from Contribute","46","29-Mar-18","Created","NLP","Action","Technology","Yes","Yes",3,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Anthodiscus_chocoensis.jpg","Anthodiscus_chocoensis.jpg","live plant photo from Contribute","46","29-Jun-18","Created","NLP","Action","Technology","Yes","Yes",4,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Aspidosperma_myristicifolium.jpg","Aspidosperma_myristicifolium.jpg","live plant photo from Contribute","46","7-Apr-18 ","Created","NLP","Action","Technology","Yes","Yes",5,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Aspidosperma_myristicifolium_2.jpg","Aspidosperma_myristicifolium_2.jpg","live plant photo from Contribute","46","28-Jun-18","Created","NLP","Action","Technology","Yes","Yes",6,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Ateleia_herbert-smithii.jpg","Ateleia_herbert-smithii.jpg","live plant photo from Contribute","46","4-Nov-18 ","Created","NLP","Action","Technology","Yes","Yes",7,"Photographer","Creator",206557,"173648"
